feature,label,impurity_importance,permutation_importance,mean_contribution,mean_abs_contribution,strategy_family
rule_score,Rule-based pedagogical filter,0.44787332128840646,0.606007,0.14875400259425292,0.15277352284761672,Rule-based filtering
kg_proximity,Knowledge-graph path to weak lesson,0.10378145443069342,0.035143,0.042351204172504014,0.04263028639259828,Knowledge graph + GNN
lesson_gap,Directly covers a non-engaged lesson,0.09653210255896848,0.030115,0.04029591435994491,0.04074160134169889,Rule-based filtering
prereq_readiness,Prerequisite readiness,0.0803117882689482,0.167876,0.06536723853553443,0.0737905462255,Rule-based filtering
duration_fit,Fits the learner's study time budget,0.047150224099784505,0.065835,0.005468898344706819,0.013597189342161713,Rule-based filtering
tfidf_lesson_sim,Semantic lesson similarity,0.046281141358475546,0.009617,0.021824256730378012,0.02203247892449063,Content-based (TF-IDF)
difficulty_fit,Difficulty suited to learner ability,0.03872009480904729,0.046648,0.002972270857039862,0.03388506194606008,Rule-based filtering
res_difficulty,Resource difficulty level,0.03409647719015521,0.03308,0.012990988874233247,0.01743352610908593,Rule-based filtering
content_score,TF-IDF content similarity to need,0.030510989809657267,0.010571,0.012955213404636476,0.013776354609397736,Content-based (TF-IDF)
graph_score,GNN embedding similarity,0.012860291525171553,0.017499,0.0015783628147356327,0.004063324617198015,Knowledge graph + GNN
res_is_video,Video / recording format,0.008105287989924239,0.008741,0.0002814546267937869,0.0008222313480630807,Rule-based filtering
style_type_fit,Format matches learning style,0.008089455714443436,0.002432,0.0008885948742888566,0.002700977894346832,Rule-based filtering
tag_overlap,Knowledge tag overlap,0.00656340005925035,0.001736,0.0018898268111199191,0.002301356140278911,Content-based (TF-IDF)
risk_score,Predicted risk level (Module 02),0.006348429152111065,0.007076,0.0007657024471562285,0.003814094434074453,Context-aware behaviour
res_is_pdf,Reading material format,0.005117181563140581,0.004118,0.0005653531145652578,0.0008782823775286483,Rule-based filtering
attendance_ratio,Lecture attendance,0.004712662690019957,0.007759,0.00030646000195970924,0.0009828516329814354,Context-aware behaviour
ability,Composite learner ability,0.0046604901635832596,0.002771,0.0003585448902952478,0.0013145698484662899,Context-aware behaviour
gnn_style_affinity,Learning-style affinity in graph,0.0032662969868130606,0.000556,0.001802668279179301,0.0029456869338180397,Knowledge graph + GNN
res_duration_norm,Resource duration,0.0026799009021639133,0.000443,0.001821548590621917,0.0028403142223561925,Rule-based filtering
res_lesson_size,Material available in that lesson,0.0020050537296914025,0.00033,0.001557680868169424,0.0030089836670849058,Rule-based filtering
res_prereq_count,Prerequisite depth,0.0019622556025605535,0.000113,0.0002189104151371042,0.0016252557618577721,Rule-based filtering
kg_resource_centrality,Resource centrality in knowledge graph,0.0017025723140268385,0.000192,0.0006744466220587126,0.001338113217603194,Knowledge graph + GNN
time_budget,Time available on LMS,0.0015705011587721623,0.000241,0.00018983306004898828,0.002091484586335869,Context-aware behaviour
res_is_lab,Lab / practical format,0.00110944035667758,0.00061,0.00047524204250312625,0.0007729865175858053,Rule-based filtering
engagement_norm,LMS engagement intensity,0.0006720526384885542,0.000105,0.00011839128334233797,0.0006509057079926149,Context-aware behaviour
performance_norm,Academic performance level,0.0006700475616085117,2.8e-05,3.4198429983598986e-05,0.0005794650894290916,Context-aware behaviour
gpa_norm,GPA,0.0005028194467823769,2.6e-05,4.8713253476219675e-05,0.00043104946481501756,Context-aware behaviour
interaction_density_norm,Click density per LMS hour,0.0005008051656442446,-2.2e-05,4.233987337376497e-05,0.00045605667728987174,Context-aware behaviour
resource_appetite,Resource consumption appetite,0.0003538364361137021,3.1e-05,3.234204164147649e-05,0.00047068516461261405,Context-aware behaviour
assessment_gap,Assessment score shortfall,0.0003324142892599437,1.7e-05,1.1756341068078591e-05,0.00036519587277953003,Context-aware behaviour
quiz_gap,Quiz score shortfall,0.0003188691819356723,-7e-06,1.3857488259117016e-05,0.00044240125610743917,Context-aware behaviour
forum_activity,Forum / chat participation,0.00023989270670949736,-3e-06,1.306248458297239e-05,0.0003348079286095607,Context-aware behaviour
n_gap_norm,Number of non-engaged lessons,0.00019511401625735432,2e-06,0.000244821860855492,0.0007803528177427445,Context-aware behaviour
submission_delay,Assignment submission delay,0.00014029594471663817,1.4e-05,7.3425918897027616e-06,0.00024709375533547016,Context-aware behaviour
prior_score,Previous results,6.303888999728544e-05,-1e-06,2.157100317301012e-06,0.00011317164606048437,Context-aware behaviour
