student_id,resource_id,actual_relevance,predicted_relevance,is_relevant
ST1009,R001,0.2762,0.3235,0
ST1009,R002,0.2833,0.3038,0
ST1009,R003,0.4001,0.3438,0
ST1009,R004,0.3816,0.3637,0
ST1009,R005,0.3515,0.3834,0
ST1009,R006,0.3629,0.4021,0
ST1009,R007,0.4897,0.4859,0
ST1009,R008,0.3211,0.3693,0
ST1009,R009,0.3201,0.3404,0
ST1009,R010,0.4251,0.4191,0
ST1009,R011,0.5386,0.4877,1
ST1009,R012,0.3637,0.3434,0
ST1009,R013,0.2271,0.3216,0
ST1009,R014,0.3363,0.3239,0
ST1009,R015,0.3302,0.3282,0
ST1009,R016,0.3483,0.335,0
ST1009,R017,0.4912,0.4277,0
ST1009,R018,0.2667,0.3548,0
ST1009,R019,0.2995,0.3277,0
ST1009,R020,0.3584,0.3394,0
ST1009,R021,0.3235,0.4002,0
ST1009,R022,0.3947,0.3276,0
ST1009,R023,0.3696,0.3581,0
ST1009,R024,0.3909,0.3497,0
ST1009,R025,0.29,0.3118,0
ST1009,R026,0.3451,0.3083,0
ST1009,R027,0.3989,0.3413,0
ST1009,R028,0.3597,0.353,0
ST1009,R029,0.3656,0.3565,0
ST1009,R030,0.5374,0.5114,1
ST1009,R031,0.6884,0.7256,1
ST1009,R032,0.4089,0.407,0
ST1009,R033,0.429,0.4301,0
ST1009,R034,0.37,0.3539,0
ST1009,R035,0.5735,0.5158,1
ST1009,R036,0.2758,0.3218,0
ST1009,R037,0.4806,0.475,0
ST1009,R038,0.4374,0.3811,0
ST1009,R039,0.3391,0.3676,0
ST1009,R040,0.4329,0.4596,0
ST1009,R041,0.4397,0.4322,0
ST1010,R001,0.3118,0.2847,0
ST1010,R002,0.3593,0.3599,0
ST1010,R003,0.4824,0.4205,0
ST1010,R004,0.4987,0.4629,0
ST1010,R005,0.4915,0.4593,0
ST1010,R006,0.4345,0.4103,0
ST1010,R007,0.582,0.4929,1
ST1010,R008,0.4813,0.4852,0
ST1010,R009,0.3638,0.4503,0
ST1010,R010,0.4627,0.3978,0
ST1010,R011,0.4635,0.4923,0
ST1010,R012,0.4735,0.4719,0
ST1010,R013,0.478,0.4286,0
ST1010,R014,0.3707,0.439,0
ST1010,R015,0.3877,0.4393,0
ST1010,R016,0.3801,0.4463,0
ST1010,R017,0.4144,0.4368,0
ST1010,R018,0.4886,0.4742,0
ST1010,R019,0.4406,0.4239,0
ST1010,R020,0.4789,0.4686,0
ST1010,R021,0.4675,0.5251,0
ST1010,R022,0.375,0.4465,0
ST1010,R023,0.4881,0.4831,0
ST1010,R024,0.4466,0.4605,0
ST1010,R025,0.4374,0.4109,0
ST1010,R026,0.4495,0.4159,0
ST1010,R027,0.4954,0.4853,0
ST1010,R028,0.9549,0.9248,1
ST1010,R029,0.4883,0.4773,0
ST1010,R030,0.5771,0.5398,1
ST1010,R031,0.3711,0.4028,0
ST1010,R032,0.4294,0.4388,0
ST1010,R033,0.4636,0.4495,0
ST1010,R034,0.4878,0.4536,0
ST1010,R035,0.3975,0.4105,0
ST1010,R036,0.467,0.4421,0
ST1010,R037,0.3815,0.389,0
ST1010,R038,0.4029,0.4117,0
ST1010,R039,0.4261,0.3953,0
ST1010,R040,0.4047,0.4842,0
ST1010,R041,0.4194,0.4728,0
ST1012,R001,0.3394,0.3383,0
ST1012,R002,0.3872,0.3171,0
ST1012,R003,0.4188,0.3395,0
ST1012,R004,0.3754,0.3749,0
ST1012,R005,0.3735,0.3791,0
ST1012,R006,0.5403,0.5029,1
ST1012,R007,0.4301,0.4711,0
ST1012,R008,0.3717,0.3519,0
ST1012,R009,0.3332,0.337,0
ST1012,R010,0.5159,0.499,1
ST1012,R011,0.4467,0.4928,0
ST1012,R012,0.2882,0.3551,0
ST1012,R013,0.2692,0.3537,0
ST1012,R014,0.3281,0.3804,0
ST1012,R015,0.3547,0.3809,0
ST1012,R016,0.7333,0.7405,1
ST1012,R017,0.9828,0.9008,1
ST1012,R018,0.4157,0.375,0
ST1012,R019,0.3141,0.3546,0
ST1012,R020,0.3814,0.3704,0
ST1012,R021,0.3458,0.3701,0
ST1012,R022,0.3281,0.339,0
ST1012,R023,0.3691,0.3631,0
ST1012,R024,0.3901,0.3701,0
ST1012,R025,0.312,0.3278,0
ST1012,R026,0.376,0.3382,0
ST1012,R027,0.3544,0.3901,0
ST1012,R028,0.3388,0.3444,0
ST1012,R029,0.4508,0.3555,0
ST1012,R030,0.4133,0.4165,0
ST1012,R031,0.4547,0.3991,0
ST1012,R032,0.4511,0.44,0
ST1012,R033,0.4369,0.4204,0
ST1012,R034,0.3456,0.3515,0
ST1012,R035,0.4116,0.4259,0
ST1012,R036,0.2991,0.3361,0
ST1012,R037,0.425,0.4138,0
ST1012,R038,0.3681,0.3959,0
ST1012,R039,0.4479,0.4089,0
ST1012,R040,0.4362,0.3982,0
ST1012,R041,0.429,0.4186,0
ST1014,R001,0.3977,0.378,0
ST1014,R002,0.2449,0.3116,0
ST1014,R003,0.3709,0.3421,0
ST1014,R004,0.3485,0.3721,0
ST1014,R005,0.4163,0.375,0
ST1014,R006,0.3961,0.5,0
ST1014,R007,0.4332,0.4718,0
