student_id,lesson_gap,kg_proximity,difficulty_fit,duration_fit,style_type_fit,prereq_readiness,rule_score,content_score,tag_overlap,tfidf_lesson_sim,graph_score,gnn_style_affinity,kg_resource_centrality,risk_score,engagement_norm,performance_norm,attendance_ratio,gpa_norm,prior_score,time_budget,interaction_density_norm,submission_delay,forum_activity,n_gap_norm,quiz_gap,assessment_gap,resource_appetite,ability,res_duration_norm,res_difficulty,res_is_video,res_is_lab,res_is_pdf,res_prereq_count,res_lesson_size
ST4561,-0.000912,0.009996,0.003061,0.017798,0.011034,-0.003371,0.282299,0.05346,-0.021901,0.024915,0.018697,0.01384,-0.002136,0.003317,0.021317,0.009648,0.002383,-0.001588,0.002091,-0.009831,-0.006862,0.008647,0.016401,0.011654,0.009276,-0.011176,-0.008745,-0.006057,0.008008,-0.018316,0.0103,-0.01149,0.001433,0.013203,-0.000382
ST1119,-0.002823,0.01373,0.010506,0.019143,0.011648,-0.003133,0.2507,0.077771,-0.01613,-0.001316,0.010469,0.008561,0.009005,-0.009494,0.003535,0.006363,-0.020322,-0.009035,-0.006342,0.00058,-0.006687,0.003004,0.013021,-0.00198,0.005485,-0.006189,-0.021096,0.002005,-2.1e-05,0.008435,0.009923,-0.01184,-0.005463,0.005227,-0.001292
ST4356,0.008314,0.067225,0.033326,0.295921,-0.003227,-0.007849,0.376095,0.005982,-0.010962,0.040622,0.020936,0.03129,0.0022,-0.009925,0.04056,0.007086,-0.04493,-0.004009,0.016619,0.000539,-0.017393,-0.01384,0.018083,0.015459,0.012436,-0.003213,-0.004375,-0.025928,0.010095,0.000723,-0.012249,0.006056,0.005533,0.034503,0.016736
ST5177,0.014568,0.012175,0.096565,6.6e-05,0.010585,0.006924,0.219269,0.049841,-0.014117,0.017545,0.02838,0.023449,-0.009291,0.014106,0.036886,-0.000699,-0.00704,0.002789,-0.004369,-0.000169,0.005949,0.004663,0.017111,0.017478,-0.004272,-0.02051,-0.00319,-0.012147,0.008743,-0.022736,0.015101,-0.014484,0.001916,0.008693,-0.012533
ST2002,0.031456,0.007199,0.24306,0.281387,0.022504,0.012731,0.225324,0.028087,-0.020605,-0.00423,0.030336,0.004962,0.030215,-0.021534,0.042675,0.014904,-0.011529,0.009406,-0.001288,-0.027771,0.040683,0.008395,0.008778,0.003546,-0.002638,-0.035321,0.015237,-0.021205,0.061677,0.004522,0.035166,0.028986,0.02445,0.025646,0.006345
ST5836,-0.007745,0.012908,0.001354,0.122458,0.018181,0.010119,0.311952,0.034598,-0.011246,0.036584,0.027648,0.021042,-0.003872,0.001037,0.023248,0.004566,0.004172,0.00909,0.011264,-0.009942,-0.012357,0.01774,0.013765,0.0159,0.009987,-0.002422,-0.007856,-0.013441,0.038803,-0.00791,0.010914,0.001683,0.005773,0.009318,-0.010235
ST5000,-0.004465,0.022171,0.022569,0.012617,0.023899,0.00401,0.281922,0.025626,-0.012774,0.049395,0.017822,0.021415,-0.006876,0.006222,0.027576,0.00757,0.001851,-0.006497,-0.003052,-0.004779,-0.009403,0.000685,0.01893,-0.002544,0.006378,-0.015202,-0.012853,2.7e-05,0.043301,-0.016258,0.010433,-0.003848,0.001319,0.022079,0.000768
ST3292,0.022409,0.013327,0.330803,0.003604,0.025783,0.009861,0.193115,0.036779,0.002927,0.014228,0.021405,0.014368,0.032386,-0.020027,0.05388,-0.000505,-0.005512,0.014111,0.002292,0.024512,0.023878,0.008099,0.040727,0.033346,-0.012627,0.003897,-0.011767,-0.035713,0.055638,-0.057593,0.027163,0.006943,0.016243,0.022606,0.000393
ST2631,0.000683,0.055327,0.075421,0.255349,-0.007982,-0.008801,0.323715,0.02809,-0.006016,0.025417,0.006396,0.020011,0.011824,-0.012237,0.024541,-0.00045,-0.036442,-0.011724,0.011059,-0.023385,-0.02076,-0.001726,0.017631,0.009034,0.016749,-0.003825,-0.020386,-0.010819,0.022273,0.034196,-0.008539,0.009444,-0.000388,-0.002945,0.006628
ST4947,0.006239,0.019162,0.149127,0.0147,0.023637,0.007521,0.185035,0.026867,0.002904,0.017446,0.017956,0.013561,0.012291,0.016604,0.036554,-0.000503,0.012348,0.002823,0.002037,-0.013269,-9.2e-05,0.011647,0.019218,0.005461,-0.006484,-0.015071,0.001087,-0.020091,0.043745,-0.036725,0.017623,-0.01582,0.009408,-0.00071,-0.005714
ST2300,-0.003317,0.02035,0.052725,0.008346,0.025617,0.002266,0.288963,0.024941,-0.010635,0.027888,0.014127,0.020349,-0.000498,0.005797,0.029676,0.004272,-0.006413,-0.002237,-0.004506,0.000128,-0.002681,0.001945,0.021096,0.010238,0.001395,-0.017201,-0.011149,-0.006096,0.036788,-0.016611,0.017735,0.002894,-0.002614,0.028837,-0.003176
ST5565,-0.011607,0.021311,0.046117,0.033532,0.009778,-0.00285,0.311552,0.017517,-0.020829,0.01074,0.011712,0.011013,0.000174,-0.000808,0.01677,-0.004204,-0.007633,-0.00852,0.001321,0.00433,-0.00633,0.000732,0.022432,-0.002806,0.009626,-0.006706,-0.020265,-0.012716,0.012635,0.022925,0.005546,-0.014255,0.008569,-0.000497,-0.002994
ST5431,-0.001087,0.010548,0.00938,0.01796,0.008309,0.007263,0.253607,0.011441,-0.016658,0.070439,0.017978,0.01826,-0.005461,0.005773,0.014707,0.00339,-0.000229,0.001614,0.00205,-0.005246,-0.002918,0.001475,0.012255,0.000975,0.001134,-0.010505,-0.011271,-0.002424,0.004594,-0.026424,0.010107,-0.005407,0.002129,0.016919,0.00638
