student_id,rank,resource_id,resource_title,lesson,type,difficulty,minutes,predicted_relevance,strategy,reason,risk_level,learning_style,lms_url
ST1001,1,R002,Pre-reading Material,General,PDF,Foundational,30,0.6131,Rule-based filter,Targets a lesson flagged as non-engaged; format suits the learning style; high tf-idf match to the need profile; strong gnn embedding similarity,Low Risk,Moderate Learner,https://online.uom.lk/mod/resource/view.php?id=342800
ST1001,2,R029,Software Testing,Software Testing,PDF,Intermediate,45,0.5052,Context-aware,Difficulty matches current ability; format suits the learning style; fits the available study time; strong gnn embedding similarity,Low Risk,Moderate Learner,https://online.uom.lk/mod/resource/view.php?id=354073
ST1001,3,R001,Software Engineering by Sommerville (Textbook),General,PDF,Foundational,120,0.5032,Rule-based filter,Targets a lesson flagged as non-engaged; format suits the learning style; high tf-idf match to the need profile; strong gnn embedding similarity,Low Risk,Moderate Learner,https://online.uom.lk/mod/resource/view.php?id=350428
ST1001,4,R016,Introduction to UI/UX Design,UI/UX Design,PDF,Intermediate,45,0.5028,Context-aware,Difficulty matches current ability; format suits the learning style; fits the available study time,Low Risk,Moderate Learner,https://online.uom.lk/mod/resource/view.php?id=350426
ST1001,5,R021,Maven Lab Session (Recording),Software Development Models,URL/Video,Intermediate,45,0.4996,Context-aware,Difficulty matches current ability; format suits the learning style; fits the available study time; strong gnn embedding similarity,Low Risk,Moderate Learner,https://online.uom.lk/mod/url/view.php?id=351818
ST1001,6,R017,Lab Session 3 (Git),UI/UX Design,URL/Lab,Intermediate,60,0.4981,Context-aware,Difficulty matches current ability; fits the available study time,Low Risk,Moderate Learner,https://online.uom.lk/mod/url/view.php?id=351823
ST1002,1,R029,Software Testing,Software Testing,PDF,Intermediate,45,0.8467,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; strong gnn embedding similarity,Medium Risk,At-Risk Learner,https://online.uom.lk/mod/resource/view.php?id=354073
ST1002,2,R030,Testing - Lecture Recording,Software Testing,Video,Intermediate,60,0.6979,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; format suits the learning style; fits the available study time,Medium Risk,At-Risk Learner,https://online.uom.lk/mod/url/view.php?id=354273
ST1002,3,R035,Testing Lecture and Lab (Recording),Software Testing,Video,Intermediate,90,0.6601,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; format suits the learning style; revisit prerequisites first,Medium Risk,At-Risk Learner,https://online.uom.lk/mod/url/view.php?id=362804
ST1002,4,R033,Testing Lab Sheet,Software Testing,PDF,Intermediate,60,0.6309,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; fits the available study time; revisit prerequisites first,Medium Risk,At-Risk Learner,https://online.uom.lk/mod/resource/view.php?id=358769
