lesson_gap,kg_proximity,difficulty_fit,duration_fit,style_type_fit,prereq_readiness,rule_score,content_score,tag_overlap,tfidf_lesson_sim,graph_score,gnn_style_affinity,kg_resource_centrality,risk_score,engagement_norm,performance_norm,attendance_ratio,gpa_norm,prior_score,time_budget,interaction_density_norm,submission_delay,forum_activity,n_gap_norm,quiz_gap,assessment_gap,resource_appetite,ability,res_duration_norm,res_difficulty,res_is_video,res_is_lab,res_is_pdf,res_prereq_count,res_lesson_size,student_id,resource_id,predicted_relevance
1.0,1.0,0.53413314,0.6087812,1.0,1.0,0.58388,0.56268924,0.26842105,0.5740026,0.72691005,0.8731281,0.35714287,0.2,0.539,0.68,0.941,0.84615386,0.5,0.45555556,0.16934851,0.4,0.06666667,0.33333334,0.44927537,0.42105263,0.7297297,0.70301104,0.1,0.15,0.0,0.0,1.0,0.0,0.1,ST1001,R002,0.61306
1.0,1.0,0.8496506,0.5780192,0.7,1.0,0.73929,0.5199553,0.35416666,0.47496408,0.75644577,0.653635,0.71428573,0.55,0.516,0.529,0.485,0.22171946,0.5,0.74444443,0.018061535,0.2,0.0,0.33333334,0.5507246,0.2736842,0.5945946,0.4349203,0.25,0.6,0.0,0.0,1.0,0.5,0.7,ST1002,R029,0.84671
1.0,1.0,0.89868397,0.79482794,1.0,0.0,0.87512,0.3891901,0.19428572,0.37069917,0.5849676,0.0,0.5,0.85,0.475,0.427,0.265,0.29864255,0.75,0.75555557,0.08756129,0.0,0.0,0.6666667,0.6086956,0.9052632,0.7837838,0.43760654,0.4,0.35,1.0,0.0,0.0,0.5,0.3,ST1003,R011,0.97738
0.0,0.35,0.9626461,0.6653731,1.0,1.0,0.55999,0.04979689,0.14166667,0.043319315,0.55986094,0.35903326,0.42857143,0.55,0.689,0.571,0.404,0.5565611,0.75,0.8888889,0.038034234,0.0,0.8666667,0.0,0.014492754,0.31578946,1.0,0.61717117,0.4,0.6,0.0,1.0,0.0,0.5,0.1,ST1004,R017,0.57777
1.0,1.0,0.8914436,0.96364045,0.7,1.0,0.79393,0.39501396,0.30357143,0.38880324,0.64578235,0.13447943,0.71428573,0.55,0.451,0.554,0.323,0.3800905,0.25,0.5555556,0.117736004,0.0,0.6,0.6666667,0.3188406,0.31578946,0.5675676,0.4492845,0.4,0.35,0.0,0.0,1.0,0.5,0.3,ST1005,R010,0.85717
1.0,1.0,0.932222,0.78896207,0.55,1.0,0.62212,0.4680268,0.3207547,0.47881958,0.47599244,0.17590761,0.9285714,0.2,0.425,0.869,0.687,0.85067874,0.5,0.15555556,0.40310302,0.2,0.06666667,0.6666667,0.14492753,0.48421052,0.5675676,0.7867387,0.25,0.6,0.0,0.0,1.0,0.5,0.3,ST1006,R012,0.73012
0.0,0.35,0.9606891,0.7272256,0.6,1.0,0.54,0.12033513,0.15813954,0.055504646,0.4190832,0.33972898,0.5,0.85,0.817,0.353,0.459,0.06787331,0.5,0.82222223,0.10372632,0.4,0.73333335,0.0,1.0,0.37894738,1.0,0.33759817,0.4,0.35,1.0,0.0,0.0,0.5,1.0,ST1007,R007,0.60325
1.0,1.0,0.7912426,0.92860293,0.7,1.0,0.90768,0.85770833,0.38857144,0.85770833,0.41681048,0.72681963,0.64285713,0.85,0.537,0.232,0.422,0.108597286,0.75,0.2777778,0.2363481,1.0,0.13333334,0.33333334,0.072463766,0.42105263,0.8108108,0.28831834,0.25,0.15,0.0,0.0,1.0,1.0,0.0,ST1008,R003,0.97117
1.0,1.0,0.62686276,0.5998287,0.7,1.0,0.69735,0.8301771,0.4473684,0.8301771,0.55680233,0.07427398,0.5,0.55,0.578,0.435,0.208,0.5022625,0.5,0.96666664,0.049044583,0.0,0.26666668,0.33333334,0.73913044,0.31578946,0.5135135,0.47881088,0.4,0.85,0.0,0.0,1.0,0.5,0.0,ST1009,R031,0.72556
1.0,1.0,0.9401594,0.9565287,0.7,1.0,0.80282,0.8154499,0.34,0.8154499,0.6879976,0.9949987,0.5,0.55,0.538,0.422,0.282,0.88235295,0.5,0.36666667,0.103778124,0.8,0.33333334,0.33333334,0.8695652,0.3859649,0.7567568,0.58090216,0.25,0.6,0.0,0.0,1.0,0.5,0.0,ST1010,R028,0.92475
