student_id,lesson_gap,kg_proximity,difficulty_fit,duration_fit,style_type_fit,prereq_readiness,rule_score,content_score,tag_overlap,tfidf_lesson_sim,graph_score,gnn_style_affinity,kg_resource_centrality,risk_score,engagement_norm,performance_norm,attendance_ratio,gpa_norm,prior_score,time_budget,interaction_density_norm,submission_delay,forum_activity,n_gap_norm,quiz_gap,assessment_gap,resource_appetite,ability,res_duration_norm,res_difficulty,res_is_video,res_is_lab,res_is_pdf,res_prereq_count,res_lesson_size
ST1026,0.041367,0.043408,0.017875,0.00822,0.002957,-0.044258,0.141117,0.002836,0.000804,0.015767,0.001982,-0.002313,0.002585,-0.005132,-0.000552,2.8e-05,-0.00049,-0.000302,1.5e-05,0.00257,0.000368,-0.000547,-0.000304,0.0,0.000653,0.000841,-0.00026,-0.000402,-0.006886,0.120319,0.008051,-0.000138,0.001294,-6e-05,-0.000459
ST1032,0.041774,0.043408,0.022755,0.008254,-0.006126,0.07583,0.171519,0.016861,0.001573,0.022939,0.001577,0.001708,-0.001072,-0.001241,0.000573,0.000587,-0.000144,0.000534,-9.9e-05,0.002222,2.7e-05,-0.000226,0.000371,0.001512,5.1e-05,0.000323,0.000681,-0.000498,0.003107,0.008151,0.0,-0.000123,-0.000137,0.00084,0.002575
ST1034,-0.006539,-0.003695,0.003883,0.00589,0.007159,0.002314,0.071567,-0.004229,0.003637,-0.003134,0.00754,0.000167,0.000276,-0.003915,-0.000232,-4.1e-05,0.005059,-0.00031,-0.000176,-3e-06,0.000267,0.000453,-4.9e-05,0.000684,0.000361,0.000354,-0.00065,-0.000346,0.000528,0.000248,-0.005307,0.006652,0.012416,8.7e-05,0.000888
ST1036,0.041774,0.043408,0.021381,0.008026,0.00205,0.08002,0.185559,0.007635,0.003435,0.014177,0.006851,0.001921,0.00063,-0.002649,-0.001821,-0.000712,-0.000459,0.000557,0.000147,0.001589,-0.000546,-0.000432,0.000892,-0.000612,0.000339,0.00034,-0.001909,-4.7e-05,0.002888,0.009118,0.0,-0.00024,-0.000311,0.000545,-0.004213
ST1047,0.041774,0.043408,0.023244,0.005117,0.001686,0.074028,0.233263,0.008776,0.003253,0.020431,0.000609,0.000345,0.001139,0.015151,0.0008,-0.000813,4.4e-05,0.000449,-0.000509,0.000365,0.000108,0.000502,-1.2e-05,-0.000785,0.002027,-0.000738,8.3e-05,0.000547,0.002797,0.007673,0.0,-7.3e-05,5.1e-05,0.000496,0.001944
ST1068,0.041367,0.043963,0.036543,0.010448,0.000604,0.107846,0.055536,0.027776,0.006197,0.039394,0.002946,0.000941,0.000717,0.004777,-0.000195,-1.5e-05,0.000653,0.000196,0.0,0.001726,0.000149,-0.000341,0.000548,0.000341,0.000138,-0.000127,0.00039,0.006837,0.001185,-0.025717,0.0,-7.3e-05,0.0,0.001533,0.007257
ST1087,0.041774,0.043408,0.024202,0.008496,-0.005616,0.076231,0.159878,0.021405,0.001806,0.036645,-0.010786,-0.005424,0.000905,-0.000746,0.000107,-0.000523,0.000509,-0.000375,-0.000535,0.00209,-0.000902,-0.000147,0.000216,0.001695,-0.000176,0.00031,-0.000262,-7e-05,0.002728,0.00833,0.0,-0.000138,-4.9e-05,0.000829,0.002407
ST1088,0.041774,0.043408,0.02144,0.008764,0.003161,0.080859,0.156983,0.000601,-0.001361,0.009156,0.004668,0.001224,-0.00288,-0.000244,0.000934,0.00043,0.001267,-4e-06,-0.000246,0.002524,-0.000145,0.00016,0.00025,0.001414,0.000956,0.000354,0.000147,-0.001675,0.002235,0.009219,0.0,-0.00042,-0.000647,0.000416,-0.003298
ST1091,0.041367,0.043408,0.0193,0.000515,0.005053,-0.06063,0.225985,0.008496,0.001455,0.018083,0.001024,0.038771,0.003284,0.018322,0.001391,0.000456,0.009523,0.00063,-0.000102,0.000109,0.000842,0.000194,-1.9e-05,-0.000197,0.000271,-9.4e-05,0.0001,0.00296,0.003136,0.090013,0.007517,-7.3e-05,0.005891,0.0,0.002213
ST1102,0.041774,0.043408,0.023459,0.004512,0.001621,0.075177,0.237452,0.000802,0.000537,0.013651,0.001975,0.00013,0.000761,0.014276,-0.000867,-0.001449,0.000241,9e-06,0.001365,0.000809,-3.4e-05,0.000701,0.00024,-0.000785,-0.000296,-0.000892,0.000322,0.000497,0.00276,0.007766,0.0,-7.3e-05,5.1e-05,0.000496,0.001838
ST1104,0.041976,0.043408,0.028204,0.007737,-0.003406,0.079133,0.13048,0.003242,0.000549,0.014312,0.008622,0.001362,0.001291,-4.4e-05,0.001097,0.000171,-0.000385,-3.4e-05,-0.000137,0.003177,0.001082,9.9e-05,0.000153,-0.001837,0.000467,-0.000507,-0.001481,0.000837,0.003168,0.007185,0.0,0.003256,0.000569,0.000714,0.003496
ST1105,0.041774,0.043408,0.021734,0.007637,0.001631,0.075921,0.187902,0.01913,-0.000822,0.019349,0.004894,0.002173,-0.001742,-0.002732,0.000167,0.00032,-0.000743,-0.000956,3.2e-05,0.000919,-0.000145,0.000399,0.000962,0.000782,-0.000517,-0.000157,1.6e-05,-7e-05,0.00317,0.00805,0.0,-0.000231,-8.5e-05,0.000969,0.001192
ST1106,0.041774,0.043408,0.020592,0.00775,0.001594,0.073747,0.236468,0.016651,0.00397,0.027168,0.001827,0.000399,0.001141,0.013663,0.000251,-8.6e-05,7.1e-05,0.000326,0.0,0.000916,0.000678,7.2e-05,-7.7e-05,0.001084,0.000287,-0.000165,6.3e-05,0.001677,0.002797,0.007774,0.0,-7.3e-05,5.1e-05,0.000549,0.001757
ST1107,0.041774,0.043408,0.025742,0.009647,0.001865,0.078282,0.138486,0.00126,-0.000684,0.016589,0.007687,0.00336,0.001131,0.000107,0.000839,0.000849,0.000693,0.000113,-6.3e-05,0.002792,-0.000495,-0.000439,0.000311,0.001755,0.000635,-0.000302,0.000916,0.000251,0.002625,0.008303,0.0,-0.000686,-0.000379,0.000714,0.002569
ST1119,-0.006314,-0.003524,0.003361,0.007711,-0.00642,0.002201,0.053769,-0.004542,-0.008796,-0.003089,0.011756,-0.00059,-0.000259,-0.004329,-0.002298,7.3e-05,-0.008167,0.000291,0.000274,0.000224,6.4e-05,0.0,-0.000398,0.000718,-5.4e-05,6e-05,6.1e-05,-0.00021,0.000812,2.4e-05,0.014364,-0.000468,0.007932,8.7e-05,2.6e-05
ST1121,0.041367,0.043408,0.017115,0.004491,0.004336,-0.061056,0.244883,0.010102,0.001398,0.018061,0.005584,0.039807,0.003252,0.018604,0.000545,0.000914,0.0142,-0.001273,-0.000102,-0.00018,0.0,6.2e-05,-0.000223,0.0,0.001179,0.000143,0.000645,0.000513,0.002041,0.093602,0.007332,-7.3e-05,0.006474,0.0,-0.002526
ST1122,0.041774,0.043408,0.02355,0.005664,0.002455,0.075487,0.150418,0.015394,0.001745,0.021533,0.002629,0.004318,0.000189,-0.000568,0.000749,9.3e-05,-0.00077,0.000297,0.00013,0.001627,-0.000577,-0.000276,0.000239,0.001216,-0.000416,-0.000377,-9.9e-05,-5.2e-05,0.002911,0.007946,0.0,-0.000188,0.0,0.000464,0.002281
ST1140,0.041774,0.043408,0.030243,0.014262,-0.00026,0.104761,0.073403,0.018043,0.006224,0.031375,0.001914,-0.000552,0.002621,0.007494,-0.000588,0.000371,-0.000803,-0.000471,-0.000119,0.003278,7e-05,-6.7e-05,-0.000328,0.00052,-7.2e-05,-0.000291,-0.000674,-0.002644,0.001746,0.002303,0.0,-0.000129,0.0,0.001533,0.004067
ST1153,0.041774,0.043408,0.022238,0.008582,0.00156,0.075547,0.239896,0.006647,0.000332,0.016332,0.003554,0.000855,0.000192,0.014276,-0.001166,-0.001454,-0.00018,-0.000274,-0.000388,0.000708,-0.000138,-0.000618,-0.000363,-0.000909,-0.000753,-0.000292,0.000128,-0.000306,0.00276,0.007968,0.0,-7.3e-05,5.1e-05,0.000794,0.001701
ST1158,0.045745,0.054267,-0.05469,0.016664,-0.001852,0.036987,-0.05963,0.042399,0.006927,0.051061,0.002161,0.001028,0.004714,-0.00573,0.0,0.000297,-0.000799,0.000111,0.00014,-0.000161,-0.000245,0.000159,0.000147,0.00017,-0.000123,0.000548,0.0,0.003592,0.002339,0.022249,-0.000818,-0.000104,0.0,0.002479,0.009346
